_id,updated_at,segment_id,velocity
0,2020-07-03T14:55:31.869Z,24845,20
1,2020-07-03T15:02:56.048Z,33923,10
2,2020-07-04T08:15:52.696Z,33824,5
3,2020-07-04T08:15:59.903Z,33824,5
4,2020-07-04T08:16:08.201Z,33824,5
5,2020-07-04T08:16:11.070Z,33824,5
6,2020-07-04T08:16:18.512Z,33824,5
7,2020-07-04T08:16:21.798Z,33824,5
8,2020-07-04T08:16:24.746Z,33824,5
9,2020-07-04T08:16:27.606Z,33824,5
10,2020-07-04T08:16:30.501Z,33824,5
11,2020-07-04T08:16:40.859Z,33824,5
12,2020-07-04T08:16:53.387Z,33824,5
13,2020-07-04T08:17:01.572Z,33824,5
14,2020-07-04T08:17:46.961Z,33824,5
15,2020-07-04T08:22:49.169Z,33824,5
16,2020-07-04T08:22:51.813Z,33824,5
17,2020-07-04T08:22:59.339Z,33824,10
18,2020-07-04T08:25:58.962Z,33824,10
19,2020-07-04T08:26:04.255Z,33824,10
20,2020-07-04T08:26:05.574Z,33824,10
21,2020-07-04T08:26:06.908Z,33824,10
22,2020-07-04T08:26:34.084Z,33824,10
23,2020-07-04T08:27:26.970Z,33824,10
24,2020-07-04T08:27:31.616Z,33824,15
25,2020-07-04T08:27:32.476Z,33824,15
26,2020-07-04T08:27:33.462Z,33824,15
27,2020-07-04T08:27:34.256Z,33824,15
28,2020-07-04T08:36:29.587Z,33824,15
29,2020-07-04T08:39:14.365Z,56816,15
30,2020-07-04T08:39:16.873Z,56816,15
31,2020-07-04T08:40:13.969Z,56816,15
32,2020-07-04T08:40:15.470Z,56816,15
33,2020-07-04T08:40:26.617Z,56816,12
34,2020-07-04T08:40:29.315Z,56816,12
35,2020-07-04T08:41:09.518Z,56816,12
36,2020-07-04T08:46:00.990Z,56816,12
37,2020-07-04T08:46:03.498Z,56816,12
38,2020-07-04T08:46:08.768Z,56816,12
39,2020-07-04T08:46:15.327Z,56816,12
40,2020-07-04T08:47:32.177Z,56816,12
41,2020-07-04T08:48:24.355Z,56816,12
